Country_name,Gdp,Population,Year and Popuation
San Marino,77.12%,"33,931","[('2020', '33,931'), ('2019', '33,860'), ('2018', '33,785'), ('2017', '33,671'), ('2016', '33,504'), ('2015', '33,272'), ('2010', '31,229'), ('2005', '29,324'), ('2000', '27,462'), ('1995', '25,928'), ('1990', '24,125'), ('1985', '22,798'), ('1980', '21,459'), ('1975', '19,831'), ('1970', '19,221'), ('1965', '17,513'), ('1960', '15,432'), ('1955', '13,789'), ('1950', '12,781')]"
Sri Lanka,82.99%,"21,413,249","[('2020', '21,413,249'), ('2019', '21,323,733'), ('2018', '21,228,763'), ('2017', '21,128,032'), ('2016', '21,021,171'), ('2015', '20,908,027'), ('2010', '20,261,737'), ('2005', '19,544,988'), ('2000', '18,777,601'), ('1995', '18,242,912'), ('1990', '17,325,773'), ('1985', '16,176,280'), ('1980', '15,035,834'), ('1975', '13,755,146'), ('1970', '12,485,740'), ('1965', '11,110,820'), ('1960', '9,874,476'), ('1955', '8,778,438'), ('1950', '7,971,098')]"
Gambia,78.67%,"2,416,668","[('2020', '2,416,668'), ('2019', '2,347,706'), ('2018', '2,280,094'), ('2017', '2,213,889'), ('2016', '2,149,136'), ('2015', '2,085,860'), ('2010', '1,793,196'), ('2005', '1,543,741'), ('2000', '1,317,703'), ('1995', '1,128,575'), ('1990', '955,593'), ('1985', '755,787'), ('1980', '637,246'), ('1975', '539,979'), ('1970', '464,410'), ('1965', '405,259'), ('1960', '365,047'), ('1955', '329,661'), ('1950', '304,889')]"
Zambia,80.50%,"18,383,955","[('2020', '18,383,955'), ('2019', '17,861,030'), ('2018', '17,351,708'), ('2017', '16,853,599'), ('2016', '16,363,458'), ('2015', '15,879,361'), ('2010', '13,605,984'), ('2005', '11,856,247'), ('2000', '10,415,944'), ('1995', '9,096,607'), ('1990', '8,036,845'), ('1985', '6,923,149'), ('1980', '5,851,825'), ('1975', '4,943,283'), ('1970', '4,179,067'), ('1965', '3,570,464'), ('1960', '3,070,776'), ('1955', '2,644,976'), ('1950', '2,310,442')]"
United Kingdom,85.67%,"67,886,011","[('2020', '67,886,011'), ('2019', '67,530,172'), ('2018', '67,141,684'), ('2017', '66,727,461'), ('2016', '66,297,944'), ('2015', '65,860,146'), ('2010', '63,459,808'), ('2005', '60,287,954'), ('2000', '58,923,309'), ('1995', '57,932,453'), ('1990', '57,134,391'), ('1985', '56,413,553'), ('1980', '56,209,171'), ('1975', '56,152,333'), ('1970', '55,573,453'), ('1965', '54,240,850'), ('1960', '52,370,602'), ('1955', '51,063,902'), ('1950', '50,616,014')]"
Mauritania,80.61%,"4,649,658","[('2020', '4,649,658'), ('2019', '4,525,696'), ('2018', '4,403,313'), ('2017', '4,282,570'), ('2016', '4,163,533'), ('2015', '4,046,301'), ('2010', '3,494,195'), ('2005', '3,024,194'), ('2000', '2,630,219'), ('1995', '2,313,630'), ('1990', '2,034,346'), ('1985', '1,780,030'), ('1980', '1,540,640'), ('1975', '1,330,598'), ('1970', '1,146,780'), ('1965', '985,910'), ('1960', '850,384'), ('1955', '738,299'), ('1950', '651,436')]"
Brazil,90.36%,"212,559,417","[('2020', '212,559,417'), ('2019', '211,049,527'), ('2018', '209,469,323'), ('2017', '207,833,823'), ('2016', '206,163,053'), ('2015', '204,471,769'), ('2010', '195,713,635'), ('2005', '186,127,103'), ('2000', '174,790,340'), ('1995', '162,019,896'), ('1990', '149,003,223'), ('1985', '135,274,080'), ('1980', '120,694,009'), ('1975', '107,216,205'), ('1970', '95,113,265'), ('1965', '83,373,530'), ('1960', '72,179,226'), ('1955', '62,533,919'), ('1950', '53,974,729')]"
Tunisia,81.55%,"11,818,619","[('2020', '11,818,619'), ('2019', '11,694,719'), ('2018', '11,565,201'), ('2017', '11,433,443'), ('2016', '11,303,945'), ('2015', '11,179,949'), ('2010', '10,635,244'), ('2005', '10,106,771'), ('2000', '9,708,350'), ('1995', '9,125,398'), ('1990', '8,242,496'), ('1985', '7,329,594'), ('1980', '6,374,039'), ('1975', '5,656,914'), ('1970', '5,063,809'), ('1965', '4,547,941'), ('1960', '4,178,236'), ('1955', '3,943,540'), ('1950', '3,605,306')]"
Belize,92.64%,"397,628","[('2020', '397,628'), ('2019', '390,353'), ('2018', '383,071'), ('2017', '375,769'), ('2016', '368,400'), ('2015', '360,933'), ('2010', '322,464'), ('2005', '283,800'), ('2000', '247,315'), ('1995', '206,963'), ('1990', '187,552'), ('1985', '164,921'), ('1980', '144,155'), ('1975', '133,260'), ('1970', '122,182'), ('1965', '106,119'), ('1960', '92,064'), ('1955', '79,870'), ('1950', '68,919')]"
Aruba,83.57%,"106,766","[('2020', '106,766'), ('2019', '106,314'), ('2018', '105,845'), ('2017', '105,366'), ('2016', '104,872'), ('2015', '104,341'), ('2010', '101,669'), ('2005', '100,031'), ('2000', '90,853'), ('1995', '80,324'), ('1990', '62,149'), ('1985', '63,026'), ('1980', '60,096'), ('1975', '60,657'), ('1970', '59,063'), ('1965', '57,360'), ('1960', '54,211'), ('1955', '43,724'), ('1950', '38,068')]"
Antigua And Barbuda,88.35%,"97,929","[('2020', '97,929'), ('2019', '97,118'), ('2018', '96,286'), ('2017', '95,426'), ('2016', '94,527'), ('2015', '93,566'), ('2010', '88,028'), ('2005', '81,465'), ('2000', '76,016'), ('1995', '68,670'), ('1990', '62,528'), ('1985', '61,786'), ('1980', '61,865'), ('1975', '62,675'), ('1970', '64,177'), ('1965', '58,698'), ('1960', '54,131'), ('1955', '49,648'), ('1950', '45,519')]"
Republic Of The Congo,90.19%,"5,518,087","[('2020', '5,518,087'), ('2019', '5,380,508'), ('2018', '5,244,359'), ('2017', '5,110,695'), ('2016', '4,980,996'), ('2015', '4,856,095'), ('2010', '4,273,731'), ('2005', '3,622,775'), ('2000', '3,127,411'), ('1995', '2,707,537'), ('1990', '2,356,737'), ('1985', '2,054,312'), ('1980', '1,777,934'), ('1975', '1,536,654'), ('1970', '1,326,885'), ('1965', '1,155,392'), ('1960', '1,018,253'), ('1955', '911,029'), ('1950', '827,252')]"
Angola,90.46%,"32,866,272","[('2020', '32,866,272'), ('2019', '31,825,295'), ('2018', '30,809,787'), ('2017', '29,816,766'), ('2016', '28,842,489'), ('2015', '27,884,381'), ('2010', '23,356,246'), ('2005', '19,433,602'), ('2000', '16,395,473'), ('1995', '13,945,206'), ('1990', '11,848,386'), ('1985', '9,961,997'), ('1980', '8,341,289'), ('1975', '7,024,000'), ('1970', '5,890,365'), ('1965', '5,770,570'), ('1960', '5,454,933'), ('1955', '5,043,247'), ('1950', '4,548,023')]"
France,99.20%,"65,273,511","[('2020', '65,273,511'), ('2019', '65,129,728'), ('2018', '64,990,511'), ('2017', '64,842,509'), ('2016', '64,667,596'), ('2015', '64,453,200'), ('2010', '62,879,530'), ('2005', '61,120,127'), ('2000', '59,015,096'), ('1995', '57,801,892'), ('1990', '56,666,849'), ('1985', '55,254,848'), ('1980', '53,868,009'), ('1975', '52,688,576'), ('1970', '50,763,920'), ('1965', '48,746,652'), ('1960', '45,673,146'), ('1955', '43,411,367'), ('1950', '41,833,882')]"
Bahrain,100.19%,"1,701,575","[('2020', '1,701,575'), ('2019', '1,641,172'), ('2018', '1,569,446'), ('2017', '1,494,076'), ('2016', '1,425,792'), ('2015', '1,371,851'), ('2010', '1,240,860'), ('2005', '889,164'), ('2000', '664,611'), ('1995', '563,697'), ('1990', '495,931'), ('1985', '419,428'), ('1980', '359,888'), ('1975', '266,543'), ('1970', '212,605'), ('1965', '187,431'), ('1960', '162,427'), ('1955', '133,585'), ('1950', '115,611')]"
Jordan,94.83%,"10,203,134","[('2020', '10,203,134'), ('2019', '10,101,694'), ('2018', '9,965,318'), ('2017', '9,785,843'), ('2016', '9,554,286'), ('2015', '9,266,575'), ('2010', '7,261,539'), ('2005', '5,765,635'), ('2000', '5,122,493'), ('1995', '4,588,843'), ('1990', '3,565,890'), ('1985', '2,900,049'), ('1980', '2,377,995'), ('1975', '2,065,913'), ('1970', '1,721,323'), ('1965', '1,173,606'), ('1960', '933,102'), ('1955', '682,968'), ('1950', '481,321')]"
Spain,95.96%,"46,754,778","[('2020', '46,754,778'), ('2019', '46,736,776'), ('2018', '46,692,858'), ('2017', '46,647,428'), ('2016', '46,634,140'), ('2015', '46,671,926'), ('2010', '46,931,015'), ('2005', '44,019,123'), ('2000', '40,824,754'), ('1995', '39,787,419'), ('1990', '39,202,525'), ('1985', '38,733,876'), ('1980', '37,698,196'), ('1975', '35,879,209'), ('1970', '33,883,749'), ('1965', '32,146,263'), ('1960', '30,402,411'), ('1955', '29,048,395'), ('1950', '28,069,735')]"
Belgium,99.57%,"11,589,623","[('2020', '11,589,623'), ('2019', '11,539,328'), ('2018', '11,482,178'), ('2017', '11,419,748'), ('2016', '11,354,420'), ('2015', '11,287,940'), ('2010', '10,938,739'), ('2005', '10,546,886'), ('2000', '10,282,033'), ('1995', '10,186,305'), ('1990', '10,006,544'), ('1985', '9,916,578'), ('1980', '9,868,995'), ('1975', '9,771,586'), ('1970', '9,632,180'), ('1965', '9,443,939'), ('1960', '9,167,365'), ('1955', '8,887,274'), ('1950', '8,637,519')]"
Cyprus,101.04%,"1,207,359","[('2020', '1,207,359'), ('2019', '1,198,575'), ('2018', '1,189,265'), ('2017', '1,179,678'), ('2016', '1,170,187'), ('2015', '1,160,985'), ('2010', '1,112,612'), ('2005', '1,027,662'), ('2000', '943,290'), ('1995', '855,383'), ('1990', '766,615'), ('1985', '703,685'), ('1980', '685,405'), ('1975', '649,751'), ('1970', '613,618'), ('1965', '580,966'), ('1960', '572,930'), ('1955', '529,972'), ('1950', '494,015')]"
Jamaica,94.13%,"2,961,167","[('2020', '2,961,167'), ('2019', '2,948,279'), ('2018', '2,934,847'), ('2017', '2,920,848'), ('2016', '2,906,236'), ('2015', '2,891,021'), ('2010', '2,810,460'), ('2005', '2,740,003'), ('2000', '2,654,701'), ('1995', '2,533,711'), ('1990', '2,419,906'), ('1985', '2,335,510'), ('1980', '2,162,846'), ('1975', '2,028,016'), ('1970', '1,875,642'), ('1965', '1,756,511'), ('1960', '1,628,520'), ('1955', '1,540,956'), ('1950', '1,402,899')]"
